file_size,file_header,file_delimiter,value_contains_special_character,value_contains_quotes,value_empty_string,value_null,value_leading_whitespace,value_trailing_whitespace,value_quoted,value_contains_escape_double_quotes,value_data_type,file_contains_empty_field_header,file_contains_empty_field_value
1,false,semicolon,false,false,false,false,false,false,false,false,string,false,false
2,true,tab,true,true,false,false,true,true,true,true,string,true,true
1,true,comma,false,true,false,false,false,false,true,true,bool,false,false
2,false,semicolon,true,false,false,false,true,true,true,false,bool,false,true
1,false,tab,false,true,false,false,false,false,false,false,double,false,false
2,true,comma,true,false,false,false,true,false,true,false,double,true,false
1,true,semicolon,true,true,false,false,false,false,true,true,int,true,false
2,false,tab,false,false,true,false,false,false,false,false,int,false,true
1,false,comma,false,false,true,false,false,false,false,false,string,false,false
2,true,comma,false,false,true,false,false,false,false,false,int,true,true
2,false,semicolon,false,false,true,false,false,false,false,false,double,false,true
2,true,tab,false,false,true,false,false,false,false,false,bool,true,false
2,true,comma,false,false,false,true,false,false,false,false,string,true,true
1,false,semicolon,false,false,false,true,false,false,false,false,bool,false,false
1,false,tab,false,false,false,true,false,false,false,false,double,false,false
1,false,comma,false,false,false,true,false,false,false,false,int,false,false
2,true,comma,false,false,false,false,true,true,false,false,int,false,false
2,false,semicolon,false,true,false,false,false,true,true,true,double,false,true
